[0.000s] Experiment Started
[5.223s] Block 1 Started
[920.766s] Block 4 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[922.782s] Block 4 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[925.799s] Block 4 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[927.800s] Block 4 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[930.815s] Block 4 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[932.835s] Block 4 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[935.849s] Block 4 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[937.881s] Block 4 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[940.898s] Block 4 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[942.931s] Block 4 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[945.947s] Block 4 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[947.964s] Block 4 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[950.980s] Block 4 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[952.998s] Block 4 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[956.013s] Block 4 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[958.047s] Block 4 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[961.050s] Block 4 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[963.068s] Block 4 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[966.081s] Block 4 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[968.113s] Block 4 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[971.113s] Block 4 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[973.132s] Block 4 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[976.145s] Block 4 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[978.179s] Block 4 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[981.195s] Block 4 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[983.228s] Block 4 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[986.231s] Block 4 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[988.262s] Block 4 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[991.278s] Block 4 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[992.294s] Block 4 Ended
[992.311s] Experiment Ended
